,Females
0,Filemina_Alchin
1,Natalie_Limunus
2,Badeea_Ali
3,Becky_Arncliffe
4,Agnes
5,Chandra_Amble
6,Alejandra_Alonso
7,Amata
8,Alice
9,Alanza_Alves
10,Pamela_Alton
11,Tamsin_Applebee
12,Maud_Ashborn
13,Sakura_Akagi
14,Ernestina_Abutor
15,Hannah_Abbott
16,Local_Sitemap
17,Amanda
18,Aged_witch
19,Rosana_Amorim
20,Zoe_Accrington
21,Cyprien_Alesi
22,Angelina_Appleby
23,Danielle_Amorinus
24,Altheda
25,Alys
26,Debbie_Amy
27,Jada_Angela
28,Rosemary_Ames
29,Asha
30,Unidentified_registered_Animagus
31,Aisha
32,Chavelle_Arbelo_Cartaya
33,Edith_Abernathy
34,Alannis
35,Jane_Austen
36,Charity_Burbage
37,Phoebe_Black
38,Concepta_Battista
39,Hetty_Bayliss
40,Borboleta
41,Betty_Burgess
42,Hesper_Black
43,Lara_Blishen
44,Flora_Buchanan
45,Lycoris_Black
46,Cedrella_Black
47,Bandon_Banshee
48,Rosalind_Bungs
49,Lucretia_Black
50,Susan_Blancheflower
51,Melinda_Bobbin
52,Araminta_Meliflua_Black
53,Katie_Bell
54,Susan_Bones
55,Beatrix_Bloxam
56,Cassiopeia_Black
57,Kajol_Bhatt
58,Nerissa_Brody
59,Mandy_Brocklehurst
60,Tabitha_Bainbridge
61,Sally_Birchgrove
62,Anne_Boleyn
63,Musidora_Barkwith
64,Charis_Black
65,Alexia_Walkin_Black
66,Sadie_Baldock
67,Fiona_Belmont
68,Amelia_Bones
69,Ball_Guest
70,Amy_Benson
71,Bespectacled_Slytherin_girl
72,Yvonne_Bampton
73,Belvina_Black
74,Bunty_Broadacre
75,Allison_Barnes
76,Elladora_Black
77,Britannia
78,Violetta_Bulstrode
79,Callidora_Black
80,Bernadette_Beauchene
81,Iola_Black
82,Druella_Black
83,Bean
84,Genevieve_Bladt
85,Kursten_Blijk
86,Brindlemore
87,Betty_Bickering
88,Bonhabille
89,Jordanna_Bodiment
90,Bernadette
91,Bathsheda_Babbling
92,Justine_Britnell
93,Trisha_Buttermere
94,Boyle
95,Kquewanda_Bailey
96,Local_Sitemap
97,Seraphina_Bones
98,Sylvian_Boigny
99,Vicky_Bishopper
100,Walburga_Black
101,Babayaga
102,Misapinoa_Black
103,Kinjal_Bhatia
104,Betty_Braithwaite
105,Mary_Lou_Barebone
106,Bridget
107,Sophie_Berger
108,Gwendoline_Babcocke
109,Sheila_Brooks
110,Eleanor_Branstone
111,Elizabeth_Burke
112,Holly_Blackbird
113,Unidentified_Big_Bean_Shack_spokeswoman
114,Chastity_Barebone
115,Beryl
116,Unidentified_witch_in_Bath
117,Modesty_Barebone
118,Celia_Barnett
119,Oona_Ballington
120,Lavender_Brown
121,Violetta_Beauvais
122,Elsie_Barrett
123,Gladys_Boothby
124,Annis_Black
125,Bathilda_Bagshot
126,Millicent_Bulstrode
127,Millicent_Bagnold
128,Dorea_Black
129,Nina_Chibbar
130,Poppy_Caxton
131,Venusia_Crickerly
132,Hestia_Carrow
133,Maisie_Cattermole
134,Phoebe_Clem
135,Diane_Carter
136,Cliodna
137,Glenda_Chittock
138,Cho_Chang
139,Angelica_Cole
140,Josefina_Calderon
141,Lisa_Cullen
142,Polly_Chapman
143,Anna_Chiwawa
144,Cas_Carneirus
145,Loretta_Cornhill
146,Flora_Carrow
147,Indira_Choudry
148,Liza_Cherks
149,Elfrida_Cragg
150,Chinese_Fireball_at_the_Magical_Creatures_Reserve
151,Ellen_Cracknell
152,Elfrida_Clagg
153,Glinda_Crook
154,Irma_Crabbe
155,Myra_Curio
156,Gerda_Curd
157,Local_Sitemap
158,Linderina_Crane
159,Crowd_outside_bakery_in_Surrey
160,Yvette_Coquelot
161,Magali_Crowe
162,Martine_Copplestone
163,Cecilia
164,Hannah_Cockleford
165,Magenta_Comstock
166,Lydia_Cooden
167,Daisy_Corran
168,Hortense_Cooper
169,Delfina_Crimp
170,Doris_Crockford
171,Penelope_Clearwater
172,Celine_Castillon
173,Agatha_Chubb
174,Circe
175,Ellie_Cattermole
176,Corrine_Cribb
177,Eunice_Cabanart
178,Greta_Catchlove
179,Camelia
180,Cecily
181,Antonia_Creaseworthy
182,Mary_Cattermole
183,Jane_Court
184,Alecto_Carrow
185,Rachael_Codnor
186,Linda_Chaddesley
187,Cole
188,Clutterbuck_Crispe
189,Mary_Doyle
190,Female_Death_Eater_at_the_Graveyard
191,Irma_Dugard
192,Emma_Dobbs
193,Shruti_Dev
194,Fleur_Delacour
195,Thora_Dinnet
196,Mable_Dwillingwort
197,Ellie_Dowson
198,Dot
199,Mabel_Dashalot
200,Nanette_Desford
201,Matilda_Dukelow
202,Delphini
203,Aurora_Dillon
204,Petunia_Dursley
205,Fay_Dunbar
206,Alison_Denbright
207,Durmstrang_girl
208,Doxy_Queen
209,Damara_Dodderidge
210,Amorette_Deneuve
211,Deliverance_Dane
212,Local_Sitemap
213,Marjorie_Dursley
214,Helen_Dawlish
215,Irene_Denholm
216,Ariana_Dumbledore
217,Alison_Denshaw
218,Kendra_Dumbledore
219,Constance_Dagworth
220,Tracey_Davis
221,Daryle
222,Blossom_Degrasse
223,Nicola_Dodworth
224,Haley_Dakota
225,Elora_Dunn
226,Danielle
227,DJ_Martha
228,Benedita_Dourado
229,Priscilla_Dupont
230,Dilys_Derwent
231,Day_maid_at_Leaky_Cauldron
232,Apolline_Delacour
233,Mary_Dorkins
234,Margot_Droope
235,Dark_witch_in_the_Forbidden_Forest
236,Jennifer_Dawn
237,Gabrielle_Delacour
238,Clodagh_Dromgoole
239,Daisy_Dodderidge
240,Elizabeth_I
241,Haruka_Endoh
242,Eliana
243,Elena_Eldritch
244,Elicia
245,Edith_Nesbit
246,Eliza
247,Esposito
248,Portrait_of_a_female_etiquette_teacher
249,Elsie
250,Hilary_Erskine
251,Elveira_Elkins
252,Rosalyn_Ewhurst
253,Unidentified_plump_little_witch_examiner
254,Felicity_Eastchurch
255,Local_Sitemap
256,Elizabeth_II
257,Annabel_Entwhistle
258,Margaret_Ettington
259,Ethel
260,Marietta_Edgecombe
261,Unidentified_female_Eeylops_Owl_Emporium_employee
262,Edgecombe
263,Lucy_Evans
264,Harriet_Ellesmere
265,Edith
266,Mimi_Erland
267,Tracie_Everson
268,Jules_Egwu
269,George_Eliot
270,Lucretia_Fawley
271,Fenella_Flowerday
272,Rhonda_Fladbury
273,Fallen_Fifty
274,Dymphna_Furmage
275,Ursula_Flint
276,Perenelle_Flamel
277,Virginia_Flowers
278,Mopsy_Fleabert
279,Florence
280,Henrietta_Fischer
281,Sara_Farnham
282,Laurentia_Fletwock
283,Perpetua_Fancourt
284,Fairy_at_the_Magical_Creatures_Reserve
285,Viola_Frierson
286,Vicky_Frobisher
287,Local_Sitemap
288,Melody_Fawley
289,Amelia_Fittleworth
290,Gemma_Farley
291,Fat_Lady
292,Franziska_Faust
293,Fawcett
294,Penelope_Fawley
295,Fortinbras
296,Arabella_Figg
297,Fridwulfa
298,Louise_Fontwell
299,Floella_Foss
300,Bella_Farley
301,Fugitive_werewolf
302,Kay_Formby
303,Natalie_Fairbourne
304,Morgan_le_Fay
305,Fugitive_Dark_Witch
306,Lydia_Fry
307,Josephina_Flint
308,Sendelina_de_la_Felino
309,Miranda_Flockton
310,Madge_Farley
311,Amy_Frome
312,Porpentina_Goldstein
313,Mathilda_Greenford
314,Mathilda_Grimblehawk
315,Romilda_Goshawk
316,Olivia_Green
317,Lady_Grieve
318,Girl_whose_quill_was_taken_by_Cedric
319,Morwena_Ganderwort
320,Elladora_Guffy
321,Glynnis_Griffiths
322,Josette_Gage
323,Goblin_family_near_Nottingham
324,Queenie_Goldstein
325,Goblin_jazz_singer
326,Mirabel_Garlick
327,Carmen_Garcia
328,Gunhilda_de_Gorsemoor
329,Daphne_Greengrass
330,Malodora_Grymm
331,Zamira_Gulch
332,Gibson
333,Tangwystl_Goshawk
334,Ghost_carollers
335,Stoyanka_Grozda
336,Ginger_Witch
337,Local_Sitemap
338,Graphorn_at_the_Magical_Creatures_Reserve
339,Cereus_Greengrass
340,Gwenog
341,Girl_who_tested_Fainting_Fancies
342,Hesper_Gamp
343,Millie_Gudabi
344,Arsenia_Gonzales
345,Glossy
346,Katrina_von_Glockenspieler
347,Eleanor_Sarah_Gibbs
348,Leonora_Gore
349,Maria_Glossop
350,Gladys_Gudgeon
351,Girl_Sorted_in_1858
352,Hermione_Granger
353,Girl_with_Flowers
354,Girl_who_played_Asha
355,Wilda_Griffiths
356,Goshawk_sisters
357,Curious_Gryffindor_girl
358,Gloomy_nuns
359,Girl_who_played_Amata
360,Lorre_Gustafson
361,Ottaline_Gambol
362,Cecilia_Gallerani
363,Miranda_Goshawk
364,Trudy_Galston
365,Diadema_Goshawk
366,Olivia_Gleaves
367,Gormlaith_Gaunt
368,Aquila_Greengrass
369,Cordelia_Gifford
370,Gwendoline_Hedgeflower
371,Rolanda_Hooch
372,Hope_Howell
373,Mafalda_Hopkirk
374,Honoria
375,Lucy_Hurst
376,Beatrice_Haywood
377,Veronica_Heap
378,Violetta_Hobday
379,Penny_Haywood
380,Thelma_Holmes
381,Minaka_Hirakata
382,Susanna_Hesleden
383,Shanice_Higgins
384,Natalie_Holkham
385,Dinah_Hecat
386,Hungarian_Horntail_in_the_Dragon_Sanctuary
387,Grizel_Hurtz
388,Hedwig
389,Tamsin_Hillicker
390,Yurika_Haneda
391,Unidentified_Hufflepuff_lady
392,Local_Sitemap
393,Hester
394,Joyce_Haddock
395,Hokey
