,Males
0,Alastair
1,Dennis_Aldermaston
2,Armenian_warlock
3,Arkie_Alderton
4,Raul_Almeida
5,Andrew
6,Uchi_Akimbo
7,Jatin_Agarkar
8,William_Alderton
9,Cornelius_Agrippa
10,Arcadinho
11,Actor_who_played_Crapaud
12,Angry_wizard
13,Basil_Aurelius_III
14,Astrix_Alixan
15,Duncan_Ashe
16,Silvio_Astolfi
17,Olaf_Andersen
18,Aviemore_station_master
19,Aravind_Chaudhary
20,Alguff_the_Awful
21,Acolyte_thug
22,Brandon_Angel
23,Falco_Aesalon
24,Jonny_Anomaly
25,Local_Sitemap
26,Johann_Agardh
27,Alderton
28,Orion_Amari
29,Edwin_Avarus
30,Giffard_Abbott
31,Yutaka_Amano
32,Omar_Abasi
33,Theophilus_Abbot
34,African_prince
35,Pedrus_Almeidus
36,Walter_Aragon
37,Unidentified_male_Auror_at_Hogwarts
38,Actor_who_played_Grenouille
39,Albino_peacock
40,Aragog
41,Albert
42,Stewart_Ackerley
43,Archie_Aymslowe
44,Angus
45,Cosme_Acajor
46,Unidentified_Aurors_stationed_at_the_Great_Hall
47,Euan_Abercrombie
48,Enoch_Acidus
49,Abernathy
50,Bertram_Aubrey
51,Architect_of_Hogwarts
52,Zakir_Akram
53,Ancient_African_sorcerer
54,Scott_Ancrum
55,Christian_Alexander
56,Babajide_Akingbade
57,Nick_Alas
58,Andros_the_Invincible
59,Owen_Anthony
60,Apothecary_shopkeeper
61,Arcus
62,Anderson
63,Roland_Abberley
64,Antonio
65,Arnold
66,Avery_I
67,Arthur
68,Adrian
69,Archibald_Alderton
70,Avery_II
71,Abraham
72,Bem
73,Archibald_Bennett
74,Burgock
75,Cygnus_Black_I
76,Billingsley
77,Regulus_Black
78,Borgin
79,David_Boorman_I
80,Angus_Buchanan
81,Herbert_Beery
82,Flavius_Belby
83,Trevor_Birch
84,Bogrod
85,Blagdon_Blay
86,Cygnus_Black_II
87,Yuri_Von_Blisch
88,Pierre_Bonaccord
89,Terry_Boot
90,Budleigh_Babberton_milkman
91,Old_Posh_Baron
92,Bloody_Baron
93,Boy_who_kept_a_bezoar_in_his_pocket
94,Sanderson_Bowles
95,Bradley
96,Brian
97,Binky
98,Gilbert_Bingley
99,Patrick_Bagby
100,Carlyle_Bimplethorpe
101,Buckbeak
102,Arjuna_Balaji
103,Sirius_Black_I
104,Arcturus_Black_II
105,Jimbo_Blishwick
106,Damien_Bandrel
107,Beedle_the_Bard
108,Marius_Black
109,Baruffio
110,Bran_the_Bloodthirsty
111,Cameron_Boyle
112,Phineas_Nigellus_Black
113,Raymond_Bloom
114,David_Blishen
115,Mungo_Bonham
116,Badgered_Boy
117,Blordak
118,Craig_Bowker_Junior
119,Brutus
120,Peter_Blotting
121,Webster_Boot
122,Bob
123,Lucas_Bargeworthy
124,Brevis_Birch
125,Credence_Barebone
126,Boy_2
127,Bruno_Bruunhart
128,Alistaire_Ballcocke
129,Ludovic_Bagman
130,Rupert_Brookstanton
131,Cygnus_Black_III
132,British_Prime_Minister_in_1996
133,Frank_Bryce
134,Zygmunt_Budge
135,Pollux_Black
136,John_Bunyan
137,Bilton_Bilmes
138,Mike_Boon
139,Bertie_Bott
140,Barny_the_Fruitbat
141,Barberus_Bragge
142,Kevin_Bletchley
143,Charlie_Baverstock
144,Yuri_Blishen
145,Kevin_Broadmoor
146,Hector_Bolobolo
147,Libatius_Borage
148,Barman_at_the_Three_Broomsticks
149,Eduardus_Limette_Black
150,Damocles_Belby
151,Edmund_Bollifant
152,Tristram_Bassenthwaite
153,Basil
154,Licorus_Black
155,Phineas_Black
156,Dennis_Bishop
157,Phineas_Bourne
158,Sage_Bragnam
159,Hamish_Buchanan
160,Yatin_Bhagat
161,Bloke_who_fixed_the_toilet_at_Leaky_Cauldron
162,Bedivere
163,Bald_Healer
164,Timothy_Blenkinsop
165,Martin_Beccles
166,Maxwell_Barnett
167,Robert_Bliss
168,Bilius
169,Lucian_Bole
170,Boy_who_failed_the_Avifors_Spell
171,Maximus_Brankovitch_III
172,Mordecai_Berrycloth
173,Barnabus_Blenkinsop
174,Karl_Broadmoor
175,Arcturus_Black_I
176,Boy_in_Study_Hall
177,Albert_Bellchant
178,Gordon_Brown
179,Chadwick_Boot
180,Bennett_Burgess
181,Broderick_Bode
182,Balfour_Blane
183,Yuri_Blischen
184,Robin_Botesdale
185,John_Bastedo
186,Otto_Bagman
187,Marcus_Belby
188,Local_Sitemap
189,Broom_Shop_shopkeeper
190,Rudolf_Brand
191,Oswald_Beamish
192,Black_Knight
193,Alphard_Black
194,Boniface
195,Borys_the_Brute
196,Norville_Bezerko
197,David_Boorman_II
198,Podric_Batworthy
199,Bodrod_the_Bearded
200,Regulus_Black_I
201,Albert_Boot
202,Edwin_Booth
203,Barnabas_the_Barmy
204,Ali_Bashir
205,Podric_Batworthy_XXIII
206,Lucan_Brattleby
207,Yuri_Blishenov
208,Angelo_Benitez
209,Boa_constrictor_at_the_zoo
210,Malcolm_Baddock
211,Cassius_Bell
212,Blodwyn_Bludd
213,Orion_Black
214,Henry_Bumblepuft
215,Wayne_Bostock
216,Bartholomew_Barebone
217,Sirius_Black_II
218,Hugh_Biggs
219,Benedict
220,Ethan_Bexley
221,Brice_Badeaux
222,Bimp
223,Michael_Babatola
224,Humphrey_Balsamo
225,Darius_Berrow
226,Archibald_Bienbon
227,Arcturus_Black_III
228,Heathcote_Barbary
229,William_Billings
230,Miles_Bletchley
231,Kelly_Brown
232,Pete_Balsall
233,Humphrey_Belcher
234,Bartholomew
235,Bernie
236,Fred_Baille
237,Igor_Brand
238,Eugene_Belcher
239,Bozo
240,Cuthbert_Binns
241,Philip_Blagdon
242,Borf
243,Astor_Bellchant
244,Bly
245,Alistair_Ballcocke
246,Bane
247,Edgar_Bones
248,Stubby_Boardman
249,Boy_who_played_Sir_Luckless
250,Boris_the_Bewildered
251,Boy_who_owned_a_magic_hamster
252,Sirius_Black
253,Stuart_Craggius
254,Howland_Coopey
255,Connolly
256,Alfred_Cattermole
257,Council_of_Magical_Law_guards
258,Cleaner_at_Leaky_Cauldron
259,Eddie_Carmichael
260,Bartemius_Crouch_Junior
261,Cresswell_brothers
262,Walter_Crane
263,Herbert_Chewsworthy_III
264,Clever_goblin
265,Luccas_Carusus
266,Stephen_Cornfoot
267,Caspar_Crouch
268,Carlos_Clodoaldo
269,Melvin_Catterick
270,Edgar_Cloggs
271,Owen_Cauldwell
272,Maximilian_Crowdy
273,Todd_Cribb
274,Chauncy
275,Rancorous_Carpe
276,Chas
277,Amycus_Carrow
278,Jason_Charmer
279,Nick_Clegg
280,Nicolaus_Copernicus
281,John_Constable
282,Buckley_Cooper
